Id,PetalLengthCm,PetalWidthCm,Species
1,1.4,0.2,0
2,1.4,0.2,0
3,1.3,0.2,0
4,1.5,0.2,0
5,1.4,0.2,0
6,1.7,0.4,0
7,1.4,0.3,0
8,1.5,0.2,0
9,1.4,0.2,0
10,1.5,0.1,0
11,1.5,0.2,0
12,1.6,0.2,0
13,1.4,0.1,0
14,1.1,0.1,0
15,1.2,0.2,0
16,1.5,0.4,0
17,1.3,0.4,0
18,1.4,0.3,0
19,1.7,0.3,0
20,1.5,0.3,0
21,1.7,0.2,0
22,1.5,0.4,0
23,1,0.2,0
24,1.7,0.5,0
25,1.9,0.2,0
26,1.6,0.2,0
27,1.6,0.4,0
28,1.5,0.2,0
29,1.4,0.2,0
30,1.6,0.2,0
31,1.6,0.2,0
32,1.5,0.4,0
33,1.5,0.1,0
34,1.4,0.2,0
35,1.5,0.1,0
36,1.2,0.2,0
37,1.3,0.2,0
38,1.5,0.1,0
39,1.3,0.2,0
40,1.5,0.2,0
41,1.3,0.3,0
42,1.3,0.3,0
43,1.3,0.2,0
44,1.6,0.6,0
45,1.9,0.4,0
46,1.4,0.3,0
47,1.6,0.2,0
48,1.4,0.2,0
49,1.5,0.2,0
50,1.4,0.2,0
51,4.7,1.4,1
52,4.5,1.5,1
53,4.9,1.5,1
54,4,1.3,1
55,4.6,1.5,1
56,4.5,1.3,1
57,4.7,1.6,1
58,3.3,1,1
59,4.6,1.3,1
60,3.9,1.4,1
61,3.5,1,1
62,4.2,1.5,1
63,4,1,1
64,4.7,1.4,1
65,3.6,1.3,1
66,4.4,1.4,1
67,4.5,1.5,1
68,4.1,1,1
69,4.5,1.5,1
70,3.9,1.1,1
71,4.8,1.8,1
72,4,1.3,1
73,4.9,1.5,1
74,4.7,1.2,1
75,4.3,1.3,1
76,4.4,1.4,1
77,4.8,1.4,1
78,5,1.7,1
79,4.5,1.5,1
80,3.5,1,1
81,3.8,1.1,1
82,3.7,1,1
83,3.9,1.2,1
84,5.1,1.6,1
85,4.5,1.5,1
86,4.5,1.6,1
87,4.7,1.5,1
88,4.4,1.3,1
89,4.1,1.3,1
90,4,1.3,1
91,4.4,1.2,1
92,4.6,1.4,1
93,4,1.2,1
94,3.3,1,1
95,4.2,1.3,1
96,4.2,1.2,1
97,4.2,1.3,1
98,4.3,1.3,1
99,3,1.1,1
100,4.1,1.3,1
